File Start Time: 1262917786376
timestamp,acc_x,acc_y,acc_z,real time,activity
323938286314,-2.6210938,0.34936523,9.8671875,1262917786377,None
323948386314,-2.6308594,0.34936523,9.8828125,1262917786378,None
323958486314,-2.6796875,0.4428711,9.859375,1262917786378,None
323968586314,-2.6796875,0.3972168,9.8671875,1262917786417,None
323978686314,-2.6738281,0.33276367,9.8828125,1262917786417,None
323988786314,-2.6679688,0.32080078,9.8671875,1262917786417,None
323998886314,-2.6582031,0.34692383,9.859375,1262917786449,None
324008986314,-2.6523438,0.36621094,9.8828125,1262917786449,None
324019086314,-2.6445312,0.32788086,9.890625,1262917786450,None
324029186314,-2.6425781,0.32299805,9.8671875,1262917786458,None
324039286314,-2.6464844,0.33984375,9.8828125,1262917786459,None
324049386314,-2.6445312,0.35424805,9.8984375,1262917786460,None
324059486314,-2.640625,0.32788086,9.890625,1262917786485,None
324069586314,-2.6367188,0.30395508,9.8515625,1262917786487,None
324079686314,-2.6445312,0.33740234,9.875,1262917786487,None
324089786314,-2.6542969,0.40698242,9.890625,1262917786516,None
324099886314,-2.640625,0.43310547,9.890625,1262917786517,None
324109986314,-2.625,0.3972168,9.8984375,1262917786517,None
324120086314,-2.6542969,0.3876953,9.859375,1262917786548,None
324130186314,-2.6523438,0.37109375,9.8984375,1262917786548,None
324140286314,-2.6445312,0.36376953,9.90625,1262917786549,None
324150386314,-2.6738281,0.33496094,9.875,1262917786578,None
324160486314,-2.640625,0.27514648,9.8828125,1262917786579,None
324170586314,-2.5917969,0.2607422,9.890625,1262917786580,None
324180686314,-2.6738281,0.2705078,9.8515625,1262917786626,None
324190786314,-2.6679688,0.2607422,9.84375,1262917786629,None
324200886314,-2.59375,0.34472656,9.8515625,1262917786630,None
324210986314,-2.6308594,0.4189453,9.90625,1262917786632,None
324221086314,-2.6425781,0.4189453,9.9140625,1262917786638,None
324231186314,-2.6347656,0.37573242,9.8984375,1262917786639,None
324241286314,-2.6425781,0.34936523,9.8828125,1262917786667,None
324251386314,-2.6328125,0.36865234,9.8828125,1262917786669,None
324261486314,-2.6308594,0.33276367,9.8515625,1262917786670,None
324271586314,-2.6484375,0.31103516,9.828125,1262917786698,None
324281686314,-2.65625,0.34228516,9.859375,1262917786700,None
324291786314,-2.6660156,0.36865234,9.8828125,1262917786701,None
324301886314,-2.6367188,0.35180664,9.8671875,1262917786728,None
324311986314,-2.6328125,0.32299805,9.875,1262917786730,None
324322086314,-2.6425781,0.35424805,9.875,1262917786731,None
324332186314,-2.6621094,0.36621094,9.890625,1262917786759,None
324342286314,-2.6738281,0.32788086,9.875,1262917786760,None
324352386314,-2.6152344,0.32299805,9.8515625,1262917786762,None
324362486314,-2.625,0.35424805,9.8984375,1262917786789,None
324372586314,-2.6523438,0.36621094,9.9140625,1262917786791,None
324382686314,-2.6113281,0.33032227,9.921875,1262917786792,None
324392786314,-2.6054688,0.2775879,9.890625,1262917786819,None
324402886314,-2.6582031,0.24658203,9.875,1262917786821,None
324412986314,-2.6582031,0.31591797,9.8671875,1262917786822,None
324423086314,-2.6308594,0.34936523,9.8984375,1262917786850,None
324433186314,-2.6113281,0.33740234,9.890625,1262917786851,None
324443286314,-2.6367188,0.28955078,9.8515625,1262917786853,None
324453386314,-2.6367188,0.2607422,9.890625,1262917786880,None
324463486314,-2.6269531,0.27270508,9.8984375,1262917786882,None
324473586314,-2.6367188,0.31835938,9.890625,1262917786883,None
324483686314,-2.6484375,0.33276367,9.875,1262917786910,None
324493786314,-2.6523438,0.3088379,9.875,1262917786912,None
324503886314,-2.6621094,0.2919922,9.8671875,1262917786913,None
324513986314,-2.6464844,0.29907227,9.9140625,1262917786941,None
324524086314,-2.640625,0.28710938,9.8984375,1262917786942,None
324534186314,-2.6582031,0.2919922,9.8828125,1262917786944,None
324544286314,-2.6582031,0.2824707,9.890625,1262917786971,None
324554386314,-2.625,0.2944336,9.8828125,1262917786973,None
324564486314,-2.6484375,0.32299805,9.8828125,1262917786974,None
324574586314,-2.6640625,0.33276367,9.8984375,1262917787001,None
