File Start Time: 1262318536534
timestamp,acc_x,acc_y,acc_z,real time,activity
12919118559242,-2.5605469,0.32543945,9.90625,1262318536841,None
12919128659242,-2.5605469,0.32543945,9.90625,1262318536843,None
12919138759242,-2.5605469,0.32543945,9.90625,1262318536845,None
12919148859242,-2.5605469,0.32543945,9.90625,1262318536850,None
12919158959242,-2.5605469,0.32543945,9.90625,1262318536852,None
12919169059242,-2.5625,0.31591797,9.859375,1262318536854,None
12919179159242,-2.5800781,0.30395508,9.953125,1262318536856,None
12919189259242,-2.5917969,0.31103516,9.90625,1262318536857,None
12919199359242,-2.578125,0.32788086,9.9375,1262318536859,None
12919209459242,-2.5742188,0.31591797,9.9375,1262318536866,None
12919219559242,-2.5703125,0.31347656,9.9140625,1262318536867,None
12919229659242,-2.5976562,0.33496094,9.9296875,1262318536869,None
12919239759242,-2.5722656,0.33276367,9.9296875,1262318536870,None
12919249859242,-2.5722656,0.32788086,9.9296875,1262318536872,None
12919259959242,-2.5664062,0.31591797,9.921875,1262318536873,None
12919270059242,-2.5742188,0.31103516,9.921875,1262318536875,None
12919280159242,-2.5820312,0.31103516,9.9453125,1262318536876,None
12919290259242,-2.5898438,0.30395508,9.90625,1262318536878,None
12919300359242,-2.5839844,0.31835938,9.9375,1262318536880,None
12919310459242,-2.5800781,0.3088379,9.921875,1262318536883,None
12919320559242,-2.5605469,0.28710938,9.9140625,1262318536884,None
12919330659242,-2.5605469,0.2944336,9.90625,1262318536890,None
12919340759242,-2.5605469,0.32543945,9.9140625,1262318536892,None
12919350859242,-2.5625,0.3088379,9.890625,1262318536894,None
12919360959242,-2.5800781,0.31591797,9.953125,1262318536896,None
12919371059242,-2.578125,0.3088379,9.9375,1262318536898,None
12919381159242,-2.5722656,0.32080078,9.90625,1262318536900,None
12919391259242,-2.5390625,0.32299805,9.9375,1262318537188,None
12919401359242,-2.5566406,0.32543945,9.890625,1262318537190,None
12919411459242,-2.5800781,0.32080078,9.9140625,1262318537192,None
12919421559242,-2.5878906,0.33032227,9.921875,1262318537197,None
12919431659242,-2.5527344,0.30639648,9.9296875,1262318537206,None
12919441759242,-2.5566406,0.31347656,9.8984375,1262318537209,None
12919451859242,-2.5703125,0.33496094,9.90625,1262318537216,None
12919461959242,-2.5703125,0.30151367,9.921875,1262318537218,None
12919472059242,-2.5800781,0.3088379,9.90625,1262318537222,None
12919482159242,-2.5703125,0.30639648,9.8828125,1262318537225,None
12919492259242,-2.5527344,0.30395508,9.90625,1262318537227,None
12919502359242,-2.5722656,0.32543945,9.9296875,1262318537229,None
12919512459242,-2.5703125,0.32788086,9.9296875,1262318537232,None
12919522559242,-2.5742188,0.31347656,9.9140625,1262318537235,None
12919532659242,-2.5488281,0.31835938,9.921875,1262318537237,None
12919542759242,-2.5742188,0.34228516,9.9140625,1262318537242,None
12919552859242,-2.5878906,0.32543945,9.9453125,1262318537245,None
12919562959242,-2.5917969,0.32543945,9.90625,1262318537247,None
12919573059242,-2.5742188,0.35424805,9.9296875,1262318537252,None
12919583159242,-2.5683594,0.33740234,9.8984375,1262318537254,None
12919593259242,-2.5703125,0.32543945,9.9140625,1262318537256,None
12919603359242,-2.578125,0.32788086,9.90625,1262318537258,None
12919613459242,-2.5664062,0.32080078,9.9140625,1262318537260,None
12919623559242,-2.5703125,0.30639648,9.9375,1262318537262,None
12919633659242,-2.5839844,0.31591797,9.9296875,1262318537264,None
12919643759242,-2.5839844,0.29907227,9.9375,1262318537265,None
12919653859242,-2.5585938,0.2944336,9.9140625,1262318537267,None
12919663959242,-2.5703125,0.3088379,9.9375,1262318537269,None
12919674059242,-2.5664062,0.30151367,9.9140625,1262318537271,None
12919684159242,-2.5703125,0.3088379,9.9140625,1262318537273,None
12919694259242,-2.5839844,0.3088379,9.9453125,1262318537275,None
12919704359242,-2.5722656,0.32080078,9.9296875,1262318537277,None
12919714459242,-2.5605469,0.33032227,9.8984375,1262318537279,None
12919724559242,-2.5605469,0.31347656,9.921875,1262318537283,None
12919734659242,-2.5839844,0.296875,9.9296875,1262318537285,None
12919744759242,-2.5820312,0.32080078,9.921875,1262318537286,None
12919754859242,-2.5976562,0.31835938,9.9375,1262318537288,None
12919764959242,-2.5878906,0.30639648,9.890625,1262318537290,None
12919775059242,-2.578125,0.32080078,9.9375,1262318537292,None
12919785159242,-2.5703125,0.31835938,9.9296875,1262318537294,None
12919795259242,-2.5722656,0.3088379,9.9140625,1262318537296,None
12919805359242,-2.5664062,0.32788086,9.9375,1262318537297,None
12919815459242,-2.578125,0.33276367,9.9296875,1262318537299,None
12919825559242,-2.5800781,0.32543945,9.921875,1262318537683,None
12919835659242,-2.5800781,0.31591797,9.921875,1262318537687,None
12919845759242,-2.5683594,0.34692383,9.90625,1262318537688,None
12919855859242,-2.5664062,0.32299805,9.90625,1262318537690,None
12919865959242,-2.5703125,0.32543945,9.9296875,1262318537693,None
12919876059242,-2.5839844,0.31103516,9.9140625,1262318537696,None
12919886159242,-2.5820312,0.3088379,9.9375,1262318537700,None
