File Start Time: 1262320443784
timestamp,acc_x,acc_y,acc_z,real time,activity
14826360275433,-2.6054688,0.265625,9.875,1262320443892,None
14826370375433,-2.6308594,0.24658203,9.8828125,1262320443894,None
14826380475433,-2.6308594,0.24658203,9.8828125,1262320443896,None
14826390575433,-2.6308594,0.24658203,9.8828125,1262320443897,None
14826400675433,-2.6308594,0.24658203,9.8828125,1262320443899,None
14826410775433,-2.5898438,0.24658203,9.828125,1262320443901,None
14826420875433,-2.6230469,0.24414062,9.9140625,1262320443902,None
14826430975433,-2.625,0.23461914,9.8828125,1262320443904,None
14826441075433,-2.6132812,0.22265625,9.875,1262320443923,None
14826451175433,-2.6230469,0.23461914,9.890625,1262320443925,None
14826461275433,-2.6132812,0.24169922,9.890625,1262320443926,None
14826471375433,-2.6308594,0.24414062,9.8828125,1262320444059,None
14826481475433,-2.6269531,0.2607422,9.8984375,1262320444061,None
14826491575433,-2.6425781,0.24658203,9.8828125,1262320444064,None
14826501675433,-2.6328125,0.25854492,9.875,1262320444067,None
14826511775433,-2.6308594,0.23693848,9.8671875,1262320444069,None
14826521875433,-2.6328125,0.24169922,9.921875,1262320444071,None
14826531975433,-2.6152344,0.24658203,9.8671875,1262320444074,None
14826542075433,-2.6523438,0.22497559,9.875,1262320444076,None
14826552175433,-2.625,0.23217773,9.90625,1262320444080,None
14826562275433,-2.6152344,0.23693848,9.8828125,1262320444081,None
14826572375433,-2.6347656,0.24658203,9.8828125,1262320444086,None
14826582475433,-2.6464844,0.24890137,9.8828125,1262320444090,None
14826592575433,-2.6269531,0.24658203,9.890625,1262320444093,None
14826602675433,-2.6152344,0.24169922,9.875,1262320444095,None
14826612775433,-2.6367188,0.24169922,9.8828125,1262320444097,None
14826622875433,-2.6152344,0.23461914,9.8828125,1262320444100,None
14826632975433,-2.6132812,0.23693848,9.9140625,1262320444102,None
14826643075433,-2.6015625,0.23461914,9.8828125,1262320444365,None
14826653175433,-2.6132812,0.25854492,9.8984375,1262320444366,None
14826663275433,-2.625,0.2536621,9.8828125,1262320444368,None
14826673375433,-2.6425781,0.2607422,9.875,1262320444370,None
14826683475433,-2.6113281,0.23937988,9.90625,1262320444371,None
14826693575433,-2.6054688,0.24414062,9.875,1262320444378,None
14826703675433,-2.6152344,0.265625,9.8828125,1262320444380,None
14826713775433,-2.6191406,0.24890137,9.8828125,1262320444382,None
14826723875433,-2.625,0.24169922,9.90625,1262320444384,None
14826733975433,-2.6230469,0.24658203,9.8984375,1262320444385,None
14826744075433,-2.6210938,0.2536621,9.8671875,1262320444387,None
14826754175433,-2.6191406,0.2536621,9.875,1262320444390,None
14826764275433,-2.6269531,0.23937988,9.890625,1262320444392,None
14826774375433,-2.6347656,0.24658203,9.890625,1262320444394,None
14826784475433,-2.625,0.24414062,9.890625,1262320444396,None
14826794575433,-2.6367188,0.23937988,9.890625,1262320444398,None
14826804675433,-2.6054688,0.24414062,9.8828125,1262320444400,None
14826814775433,-2.6035156,0.24890137,9.890625,1262320444402,None
14826824875433,-2.6230469,0.24890137,9.8671875,1262320444404,None
14826834975433,-2.640625,0.25854492,9.9140625,1262320444406,None
14826845075433,-2.6269531,0.25854492,9.890625,1262320444407,None
14826855175433,-2.625,0.23693848,9.8828125,1262320444409,None
14826865275433,-2.609375,0.23937988,9.8828125,1262320444411,None
14826875375433,-2.6210938,0.24169922,9.875,1262320444413,None
14826885475433,-2.6230469,0.24658203,9.890625,1262320444415,None
14826895575433,-2.6308594,0.24658203,9.8671875,1262320444417,None
14826905675433,-2.6191406,0.25610352,9.890625,1262320444419,None
14826915775433,-2.5996094,0.24169922,9.8828125,1262320444421,None
14826925875433,-2.6113281,0.23937988,9.890625,1262320444423,None
14826935975433,-2.625,0.25610352,9.9140625,1262320444425,None
14826946075433,-2.6210938,0.2607422,9.9140625,1262320444426,None
14826956175433,-2.6113281,0.2607422,9.8828125,1262320444428,None
14826966275433,-2.640625,0.24169922,9.875,1262320444430,None
14826976375433,-2.625,0.24658203,9.90625,1262320444484,None
14826986475433,-2.6113281,0.23937988,9.8828125,1262320444486,None
14826996575433,-2.6367188,0.23461914,9.890625,1262320444488,None
14827006675433,-2.6191406,0.25610352,9.8828125,1262320444490,None
14827016775433,-2.6308594,0.2512207,9.8828125,1262320444492,None
14827026875433,-2.6269531,0.2512207,9.875,1262320444495,None
14827036975433,-2.6269531,0.24890137,9.8828125,1262320444512,None
14827047075433,-2.640625,0.24414062,9.875,1262320444515,None
14827057175433,-2.6328125,0.2512207,9.875,1262320444517,None
14827067275433,-2.6230469,0.23693848,9.8828125,1262320444542,None
14827077375433,-2.6054688,0.296875,9.9140625,1262320444544,None
14827087475433,-2.6132812,0.23937988,9.8828125,1262320444546,None
14827097575433,-2.6367188,0.2607422,9.8828125,1262320444570,None
14827107675433,-2.6425781,0.2631836,9.890625,1262320444572,None
14827117775433,-2.6269531,0.23937988,9.890625,1262320444574,None
14827127875433,-2.625,0.2536621,9.890625,1262320444600,None
14827137975433,-2.6308594,0.23693848,9.8984375,1262320444602,None
14827148075433,-2.6230469,0.23937988,9.8984375,1262320444603,None
14827158175433,-2.6113281,0.23217773,9.8984375,1262320444630,None
